participant,no_signed_duration,size,direction,correct,contrast,cond,response,log10_duration,duration,trial,session
perc002,0.01648,Large,-1,0,High,control,1,-1.783042792638903,-0.0824,299,1
perc002,0.12139,Large,-1,1,Low,control,0,-0.9158170885795264,-0.60695,300,1
perc002,0.027144,Large,1,1,Low,control,1,-1.5663261533629387,0.13572,301,1
perc002,0.07368,Small,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,302,1
perc002,0.01648,Small,1,1,Low,control,1,-1.783042792638903,0.0824,303,1
perc002,0.04472,Large,1,1,Low,control,1,-1.349498205121633,0.2236,304,1
perc002,0.01648,Large,1,0,High,control,0,-1.783042792638903,0.0824,305,1
perc002,0.12139,Small,1,1,High,control,1,-0.9158170885795264,0.60695,306,1
perc002,0.01648,Large,-1,0,High,control,1,-1.783042792638903,-0.0824,307,1
perc002,0.01648,Small,1,1,Low,control,1,-1.783042792638903,0.0824,308,1
perc002,0.01648,Large,1,0,High,control,0,-1.783042792638903,0.0824,309,1
perc002,0.04472,Small,-1,1,Low,control,0,-1.349498205121633,-0.2236,310,1
perc002,0.027144,Large,-1,0,High,control,1,-1.5663261533629387,-0.13572,311,1
perc002,0.07368,Small,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,312,1
perc002,0.04472,Large,1,1,Low,control,1,-1.349498205121633,0.2236,313,1
perc002,0.01648,Large,-1,0,Low,control,1,-1.783042792638903,-0.0824,314,1
perc002,0.12139,Small,-1,1,Low,control,0,-0.9158170885795264,-0.60695,315,1
perc002,0.12139,Small,-1,1,High,control,0,-0.9158170885795264,-0.60695,316,1
perc002,0.07368,Small,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,317,1
perc002,0.01648,Small,-1,1,Low,control,0,-1.783042792638903,-0.0824,318,1
perc002,0.027144,Small,-1,1,High,control,0,-1.5663261533629387,-0.13572,319,1
perc002,0.027144,Small,1,1,Low,control,1,-1.5663261533629387,0.13572,320,1
perc002,0.027144,Small,-1,1,Low,control,0,-1.5663261533629387,-0.13572,321,1
perc002,0.027144,Large,-1,1,Low,control,0,-1.5663261533629387,-0.13572,322,1
perc002,0.2,Large,-1,1,Low,control,0,-0.6989700043360187,-1,323,1
perc002,0.07368,Small,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,324,1
perc002,0.027144,Large,1,0,High,control,0,-1.5663261533629387,0.13572,325,1
